  20.4070133  0  0   0.0000000
  21.1162264 -3 -2   0.0000000
  21.4889195 -2 -2   0.0000057
  21.0546202 -1 -2   0.0000000
  21.2767021 -1 -2   0.0000000
  21.4433404  0 -2   0.0000080
  21.0546205  1 -2   0.0000000
  21.2767140  1 -2   0.0000000
  21.4889113  2 -2   0.0000057
  21.1162235  3 -2   0.0000000
  21.1230308 -3  0   0.0000001
  21.3199654 -3  0   0.0000001
  21.4290150 -2  0   0.0000897
  21.6031328 -2  0   0.0000675
  21.0557276 -1  0   0.0000001
  21.2735697 -1  0   0.0000001
  21.2783827 -1  0   0.0000000
  21.7297173 -1  0   0.0000002
  21.4937212  0  0   0.0000316
  21.8361532  0  0   0.0000487
  21.0558059  1  0   0.0000001
  21.2735171  1  0   0.0000001
  21.2783648  1  0   0.0000000
  21.7297138  1  0   0.0000002
  21.4285117  2  0   0.0000902
  21.6031128  2  0   0.0000680
  21.1230645  3  0   0.0000001
  21.3198864  3  0   0.0000001
  21.1130119 -3  2   0.0000000
  21.6088587 -2  2   0.0000046
  21.0533557 -1  2   0.0000000
  21.2752253 -1  2   0.0000000
  21.5057133  0  2   0.0000076
  21.0533895  1  2   0.0000000
  21.2751278  1  2   0.0000000
  21.6089216  2  2   0.0000046
  21.1129972  3  2   0.0000000
