3	21.41211  21.84286  22.13308  22.28379	22.42233
4	20.40701  21.05580  21.27352  21.27836  21.72971
5	20.30094  20.81802  21.00476  21.02532  21.34968  
6	20.24258  20.77476  20.96095  20.98392  21.27733
7	20.21741  20.75761  20.93962  20.96445  21.23946
